scenario,batch_window_ms,v1_latency_p95_ms,v2_latency_p95_ms,latency_p95_delta_ms,v1_proxy_downstream_frames_out,v2_proxy_downstream_frames_out,downstream_frames_delta_pct,v1_proxy_downstream_bytes_out,v2_proxy_downstream_bytes_out,downstream_bytes_delta_pct,v1_max_bandwidth_bytes_per_s,v2_max_bandwidth_bytes_per_s,max_bandwidth_delta_pct,v1_stale_fraction,v2_stale_fraction,stale_fraction_delta,v1_run_dir,v2_run_dir
clean,50,79.0,72.45,-6.55,16,15,-6.2%,14921,14751,-1.1%,3294,4736,43.8%,0.0,0.0,0.0,experiments\logs\intel-v1-v2-isolation-20260403\v1-qos0-clean-bw50ms,experiments\logs\intel-v1-v2-isolation-20260403\v2-qos0-clean-bw50ms
clean,100,119.45,119.0,-0.45,11,11,0.0%,14071,14071,0.0%,4567,4567,0.0%,0.0,0.0,0.0,experiments\logs\intel-v1-v2-isolation-20260403\v1-qos0-clean-bw100ms,experiments\logs\intel-v1-v2-isolation-20260403\v2-qos0-clean-bw100ms
clean,250,274.45,267.0,-7.45,5,5,0.0%,13051,13051,0.0%,4228,4228,0.0%,0.0,0.0,0.0,experiments\logs\intel-v1-v2-isolation-20260403\v1-qos0-clean-bw250ms,experiments\logs\intel-v1-v2-isolation-20260403\v2-qos0-clean-bw250ms
clean,500,519.0,521.0,2.0,5,5,0.0%,13051,13051,0.0%,4228,4228,0.0%,0.0,0.0,0.0,experiments\logs\intel-v1-v2-isolation-20260403\v1-qos0-clean-bw500ms,experiments\logs\intel-v1-v2-isolation-20260403\v2-qos0-clean-bw500ms
clean,1000,1025.05,1018.0,-7.05,6,6,0.0%,17637,17637,0.0%,4586,4586,0.0%,0.177778,0.15,-0.027778,experiments\logs\intel-v1-v2-isolation-20260403\v1-qos0-clean-bw1000ms,experiments\logs\intel-v1-v2-isolation-20260403\v2-qos0-clean-bw1000ms
bandwidth_200kbps,50,67.0,70.45,3.45,15,15,0.0%,14751,14751,0.0%,4736,4736,0.0%,0.0,0.0,0.0,experiments\logs\intel-v1-v2-isolation-20260403\v1-qos0-bandwidth_200kbps-bw50ms,experiments\logs\intel-v1-v2-isolation-20260403\v2-qos0-bandwidth_200kbps-bw50ms
bandwidth_200kbps,100,125.9,116.0,-9.9,11,11,0.0%,14071,14071,0.0%,4567,4567,0.0%,0.0,0.0,0.0,experiments\logs\intel-v1-v2-isolation-20260403\v1-qos0-bandwidth_200kbps-bw100ms,experiments\logs\intel-v1-v2-isolation-20260403\v2-qos0-bandwidth_200kbps-bw100ms
bandwidth_200kbps,250,266.9,273.0,6.1,5,6,20.0%,13051,13958,6.9%,4228,4228,0.0%,0.0,0.0,0.0,experiments\logs\intel-v1-v2-isolation-20260403\v1-qos0-bandwidth_200kbps-bw250ms,experiments\logs\intel-v1-v2-isolation-20260403\v2-qos0-bandwidth_200kbps-bw250ms
bandwidth_200kbps,500,522.45,518.0,-4.45,5,5,0.0%,13051,13051,0.0%,4228,4228,0.0%,0.0,0.0,0.0,experiments\logs\intel-v1-v2-isolation-20260403\v1-qos0-bandwidth_200kbps-bw500ms,experiments\logs\intel-v1-v2-isolation-20260403\v2-qos0-bandwidth_200kbps-bw500ms
bandwidth_200kbps,1000,1021.05,1021.0,-0.05,6,6,0.0%,17637,17637,0.0%,4586,4586,0.0%,0.15,0.177778,0.027778,experiments\logs\intel-v1-v2-isolation-20260403\v1-qos0-bandwidth_200kbps-bw1000ms,experiments\logs\intel-v1-v2-isolation-20260403\v2-qos0-bandwidth_200kbps-bw1000ms
outage_5s,50,78.25,73.25,-5.0,13,13,0.0%,12931,12931,0.0%,3833,4736,23.6%,0.0,0.0,0.0,experiments\logs\intel-v1-v2-isolation-20260403\v1-qos0-outage_5s-bw50ms,experiments\logs\intel-v1-v2-isolation-20260403\v2-qos0-outage_5s-bw50ms
outage_5s,100,109.25,123.25,14.0,9,9,0.0%,12252,12252,0.0%,4567,4567,0.0%,0.0,0.0,0.0,experiments\logs\intel-v1-v2-isolation-20260403\v1-qos0-outage_5s-bw100ms,experiments\logs\intel-v1-v2-isolation-20260403\v2-qos0-outage_5s-bw100ms
outage_5s,250,266.25,258.0,-8.25,4,4,0.0%,11401,11401,0.0%,4228,4228,0.0%,0.0,0.0,0.0,experiments\logs\intel-v1-v2-isolation-20260403\v1-qos0-outage_5s-bw250ms,experiments\logs\intel-v1-v2-isolation-20260403\v2-qos0-outage_5s-bw250ms
outage_5s,500,524.25,514.25,-10.0,4,4,0.0%,11401,11401,0.0%,4228,4228,0.0%,0.0,0.0,0.0,experiments\logs\intel-v1-v2-isolation-20260403\v1-qos0-outage_5s-bw500ms,experiments\logs\intel-v1-v2-isolation-20260403\v2-qos0-outage_5s-bw500ms
outage_5s,1000,1013.2,1022.0,8.8,5,5,0.0%,15617,15617,0.0%,4586,4586,0.0%,0.125,0.15,0.025,experiments\logs\intel-v1-v2-isolation-20260403\v1-qos0-outage_5s-bw1000ms,experiments\logs\intel-v1-v2-isolation-20260403\v2-qos0-outage_5s-bw1000ms
